D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'E', 2.51], ['E', 'H', 5.56], ['H', 'J', 2.41], ['J', 'Z', 2.91]]
Melhor caminho: [['A', 'B', 0.05], ['B', 'F', 3.09], ['F', 'G', 4.28], ['G', 'Z', 3.68]]
Melhor caminho: [['A', 'B', 1.27], ['B', 'F', 5.43], ['F', 'G', 5.14], ['G', 'Z', 3.43]]
Melhor caminho: [['A', 'B', 1.84], ['B', 'F', 3.62], ['F', 'G', 4.06], ['G', 'Z', 3.95]]
Melhor caminho: [['A', 'B', 0.72], ['B', 'F', 5.51], ['F', 'G', 4.29], ['G', 'Z', 3.31]]
Melhor caminho: [['A', 'B', 0.01], ['B', 'F', 2.33], ['F', 'G', 4.11], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'B', 0.26], ['B', 'F', 5.07], ['F', 'G', 4.81], ['G', 'Z', 3.13]]
Melhor caminho: [['A', 'B', 0.72], ['B', 'F', 2.19], ['F', 'G', 4.43], ['G', 'Z', 2.13]]
Melhor caminho: [['A', 'B', 1.2], ['B', 'F', 3.78], ['F', 'G', 4.24], ['G', 'Z', 2.72]]
Melhor caminho: [['A', 'B', 1.82], ['B', 'F', 3.64], ['F', 'G', 4.81], ['G', 'Z', 3.21]]
Melhor caminho: [['A', 'E', 2.81], ['E', 'H', 4.55], ['H', 'J', 2.68], ['J', 'Z', 2.52]]
Melhor caminho: [['A', 'C', 5.51], ['C', 'D', 1.59], ['D', 'H', 2.96], ['H', 'J', 2.08], ['J', 'Z', 1.08]]
Melhor caminho: [['A', 'E', 3.49], ['E', 'H', 5.71], ['H', 'J', 2.52], ['J', 'Z', 1.74]]
Melhor caminho: [['A', 'B', 1.18], ['B', 'F', 4.55], ['F', 'G', 6.24], ['G', 'Z', 3.22]]
Melhor caminho: [['A', 'B', 0.26], ['B', 'F', 5.02], ['F', 'G', 5.76], ['G', 'Z', 2.96]]
Melhor caminho: [['A', 'B', 0.07], ['B', 'F', 3.33], ['F', 'G', 4.4], ['G', 'Z', 2.4]]
Melhor caminho: [['A', 'B', 0.56], ['B', 'F', 2.24], ['F', 'G', 4.42], ['G', 'Z', 2.9]]
Melhor caminho: [['A', 'B', 1.28], ['B', 'F', 3.97], ['F', 'G', 4.42], ['G', 'Z', 3.04]]
Melhor caminho: [['A', 'C', 5.62], ['C', 'I', 3.73], ['I', 'L', 1.39], ['L', 'Z', 1.07]]
Melhor caminho: [['A', 'B', 0.01], ['B', 'F', 3.04], ['F', 'G', 5.73], ['G', 'Z', 3.2]]
Melhor caminho: [['A', 'E', 3.56], ['E', 'H', 4.53], ['H', 'J', 2.56], ['J', 'Z', 1.91]]
Melhor caminho: [['A', 'C', 5.78], ['C', 'D', 1.88], ['D', 'K', 3.31], ['K', 'L', 0.46], ['L', 'Z', 1.86]]
Melhor caminho: [['A', 'B', 0.18], ['B', 'F', 3.41], ['F', 'G', 4.78], ['G', 'Z', 3.49]]
Melhor caminho: [['A', 'B', 1.52], ['B', 'F', 2.8], ['F', 'G', 6.22], ['G', 'Z', 3.03]]
Melhor caminho: [['A', 'E', 2.27], ['E', 'H', 5.82], ['H', 'J', 2.44], ['J', 'Z', 2.69]]
Melhor caminho: [['A', 'B', 0.94], ['B', 'F', 4.95], ['F', 'G', 4.13], ['G', 'Z', 3.52]]
Melhor caminho: [['A', 'B', 1.28], ['B', 'F', 3.97], ['F', 'G', 4.32], ['G', 'Z', 2.74]]
Melhor caminho: [['A', 'B', 0.69], ['B', 'F', 3.67], ['F', 'G', 5.56], ['G', 'Z', 3.52]]
Melhor caminho: [['A', 'B', 0.26], ['B', 'F', 5.94], ['F', 'G', 4.29], ['G', 'Z', 3.29]]
Melhor caminho: [['A', 'B', 0.45], ['B', 'F', 2.12], ['F', 'G', 5.16], ['G', 'Z', 3.97]]
Melhor caminho: [['A', 'B', 1.96], ['B', 'F', 3.38], ['F', 'G', 5.69], ['G', 'Z', 2.68]]
Melhor caminho: [['A', 'C', 4.15], ['C', 'D', 1.7], ['D', 'H', 2.81], ['H', 'G', 2.88], ['G', 'Z', 2.14]]
Melhor caminho: [['A', 'B', 0.17], ['B', 'F', 2.84], ['F', 'G', 5.8], ['G', 'Z', 3.54]]
Melhor caminho: [['A', 'E', 3.95], ['E', 'F', 2.61], ['F', 'G', 3.48], ['G', 'Z', 3.5]]
Melhor caminho: [['A', 'B', 1.06], ['B', 'F', 3.45], ['F', 'G', 5.26], ['G', 'Z', 2.35]]
Melhor caminho: [['A', 'B', 0.65], ['B', 'F', 3.55], ['F', 'G', 6.16], ['G', 'Z', 2.69]]
Melhor caminho: [['A', 'B', 1.03], ['B', 'F', 2.04], ['F', 'G', 4.85], ['G', 'Z', 3.67]]
Melhor caminho: [['A', 'B', 0.36], ['B', 'F', 3.96], ['F', 'G', 5.66], ['G', 'Z', 2.65]]
Melhor caminho: [['A', 'B', 0.75], ['B', 'F', 3.39], ['F', 'G', 6.18], ['G', 'Z', 3.43]]
Melhor caminho: [['A', 'B', 0.51], ['B', 'F', 2.48], ['F', 'G', 3.26], ['G', 'Z', 3.29]]
Melhor caminho: [['A', 'E', 2.74], ['E', 'H', 5.93], ['H', 'J', 2.79], ['J', 'Z', 1.54]]
Melhor caminho: [['A', 'B', 1.91], ['B', 'F', 2.78], ['F', 'G', 4.66], ['G', 'Z', 2.69]]
Melhor caminho: [['A', 'E', 2.13], ['E', 'F', 3.4], ['F', 'G', 3.86], ['G', 'Z', 2.38]]
Melhor caminho: [['A', 'B', 0.94], ['B', 'F', 2.07], ['F', 'G', 4.05], ['G', 'Z', 3.63]]
Melhor caminho: [['A', 'B', 1.41], ['B', 'F', 3.39], ['F', 'G', 4.67], ['G', 'Z', 3.82]]
Melhor caminho: [['A', 'B', 1.02], ['B', 'F', 2.34], ['F', 'G', 5.53], ['G', 'Z', 3.76]]
Melhor caminho: [['A', 'C', 5.19], ['C', 'I', 2.95], ['I', 'L', 1.35], ['L', 'Z', 1.04]]
Melhor caminho: [['A', 'C', 6.6], ['C', 'D', 1.17], ['D', 'H', 2.12], ['H', 'J', 2.55], ['J', 'Z', 1.42]]
Melhor caminho: [['A', 'E', 2.35], ['E', 'H', 6.65], ['H', 'J', 2.6], ['J', 'Z', 2.89]]
Melhor caminho: [['A', 'C', 3.87], ['C', 'D', 1.86], ['D', 'K', 5.58], ['K', 'L', 0.62], ['L', 'Z', 1.74]]
Melhor caminho: [['A', 'E', 2.82], ['E', 'H', 5.41], ['H', 'J', 2.45], ['J', 'Z', 2.53]]
Melhor caminho: [['A', 'B', 0.07], ['B', 'F', 4.66], ['F', 'G', 5.46], ['G', 'Z', 3.46]]
Melhor caminho: [['A', 'C', 4.15], ['C', 'D', 1.5], ['D', 'H', 2.76], ['H', 'J', 2.61], ['J', 'Z', 1.2]]
Melhor caminho: [['A', 'B', 0.37], ['B', 'F', 2.67], ['F', 'G', 5.6], ['G', 'Z', 2.68]]
Melhor caminho: [['A', 'B', 0.31], ['B', 'F', 3.73], ['F', 'G', 5.11], ['G', 'Z', 2.29]]
Melhor caminho: [['A', 'B', 0.46], ['B', 'F', 2.39], ['F', 'G', 5.66], ['G', 'Z', 2.32]]
Melhor caminho: [['A', 'B', 1.8], ['B', 'F', 4.99], ['F', 'G', 4.78], ['G', 'Z', 3.65]]
Melhor caminho: [['A', 'B', 1.2], ['B', 'F', 2.01], ['F', 'G', 5.1], ['G', 'Z', 3.53]]
Melhor caminho: [['A', 'E', 2.59], ['E', 'H', 4.73], ['H', 'J', 2.76], ['J', 'Z', 2.16]]
Melhor caminho: [['A', 'B', 0.73], ['B', 'F', 5.95], ['F', 'G', 6.57], ['G', 'Z', 2.46]]
Melhor caminho: [['A', 'B', 0.39], ['B', 'F', 2.32], ['F', 'G', 2.68], ['G', 'Z', 3.65]]
Melhor caminho: [['A', 'B', 1.92], ['B', 'F', 4.01], ['F', 'G', 5.86], ['G', 'Z', 2.45]]
Melhor caminho: [['A', 'E', 2.69], ['E', 'H', 6.17], ['H', 'J', 2.83], ['J', 'Z', 1.28]]
Melhor caminho: [['A', 'B', 0.23], ['B', 'F', 4.5], ['F', 'G', 3.17], ['G', 'Z', 3.47]]
Melhor caminho: [['A', 'B', 0.5], ['B', 'F', 4.04], ['F', 'G', 3.1], ['G', 'Z', 2.9]]
Melhor caminho: [['A', 'E', 2.64], ['E', 'H', 6.49], ['H', 'J', 2.9], ['J', 'Z', 1.06]]
Melhor caminho: [['A', 'B', 0.45], ['B', 'F', 5.45], ['F', 'G', 4.74], ['G', 'Z', 2.56]]
Melhor caminho: [['A', 'B', 1.9], ['B', 'F', 3.25], ['F', 'G', 3.48], ['G', 'Z', 3.17]]
Melhor caminho: [['A', 'B', 1.63], ['B', 'F', 3.41], ['F', 'G', 5.3], ['G', 'Z', 2.37]]
Melhor caminho: [['A', 'B', 1.22], ['B', 'F', 3.57], ['F', 'G', 4.72], ['G', 'Z', 2.2]]
Melhor caminho: [['A', 'E', 2.98], ['E', 'F', 3.22], ['F', 'G', 5.21], ['G', 'Z', 2.32]]
Melhor caminho: [['A', 'B', 0.57], ['B', 'F', 3.28], ['F', 'G', 5.72], ['G', 'Z', 2.6]]
Melhor caminho: [['A', 'E', 2.08], ['E', 'H', 7.36], ['H', 'J', 2.2], ['J', 'Z', 1.7]]
Melhor caminho: [['A', 'B', 1.11], ['B', 'F', 3.74], ['F', 'G', 5.08], ['G', 'Z', 3.67]]
Melhor caminho: [['A', 'B', 1.48], ['B', 'F', 3.8], ['F', 'G', 6.04], ['G', 'Z', 2.36]]
Melhor caminho: [['A', 'B', 0.06], ['B', 'F', 5.45], ['F', 'G', 4.89], ['G', 'Z', 2.22]]
