D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'C', 5.23], ['C', 'I', 3.21], ['I', 'L', 1.45], ['L', 'Z', 2.89]]
Melhor caminho: [['A', 'B', 1.23], ['B', 'F', 3.6], ['F', 'G', 4.02], ['G', 'Z', 3.68]]
Melhor caminho: [['A', 'B', 0.97], ['B', 'F', 4.47], ['F', 'G', 4.48], ['G', 'Z', 3.26]]
Melhor caminho: [['A', 'B', 0.08], ['B', 'F', 4.81], ['F', 'G', 4.18], ['G', 'Z', 2.26]]
Melhor caminho: [['A', 'E', 2.6], ['E', 'H', 5.37], ['H', 'J', 2.04], ['J', 'Z', 1.47]]
Melhor caminho: [['A', 'B', 1.1], ['B', 'F', 3.67], ['F', 'G', 5.46], ['G', 'Z', 2.27]]
Melhor caminho: [['A', 'E', 2.55], ['E', 'H', 3.91], ['H', 'J', 3.33], ['J', 'Z', 2.4]]
Melhor caminho: [['A', 'B', 0.72], ['B', 'F', 4.11], ['F', 'G', 4.65], ['G', 'Z', 3.03]]
Melhor caminho: [['A', 'B', 0.49], ['B', 'F', 3.96], ['F', 'G', 3.64], ['G', 'Z', 2.27]]
Melhor caminho: [['A', 'B', 0.54], ['B', 'F', 4.11], ['F', 'G', 4.81], ['G', 'Z', 2.08]]
Melhor caminho: [['A', 'B', 1.35], ['B', 'F', 5.45], ['F', 'G', 4.33], ['G', 'Z', 2.7]]
Melhor caminho: [['A', 'E', 2.79], ['E', 'F', 3.09], ['F', 'G', 3.81], ['G', 'Z', 3.11]]
Melhor caminho: [['A', 'C', 6.35], ['C', 'D', 1.25], ['D', 'H', 2.13], ['H', 'J', 2.37], ['J', 'Z', 2.28]]
Melhor caminho: [['A', 'B', 1.6], ['B', 'F', 3.72], ['F', 'G', 5.02], ['G', 'Z', 3.01]]
Melhor caminho: [['A', 'B', 1.19], ['B', 'F', 2.72], ['F', 'G', 6.11], ['G', 'Z', 3.18]]
Melhor caminho: [['A', 'B', 1.74], ['B', 'F', 3.22], ['F', 'G', 4.87], ['G', 'Z', 2.22]]
Melhor caminho: [['A', 'B', 1.16], ['B', 'F', 4.07], ['F', 'G', 5.59], ['G', 'Z', 2.12]]
Melhor caminho: [['A', 'B', 1.14], ['B', 'F', 3.87], ['F', 'G', 5.23], ['G', 'Z', 3.41]]
Melhor caminho: [['A', 'E', 2.19], ['E', 'F', 3.8], ['F', 'G', 4.1], ['G', 'Z', 3.3]]
Melhor caminho: [['A', 'B', 0.27], ['B', 'F', 4.59], ['F', 'G', 3.53], ['G', 'Z', 3.75]]
Melhor caminho: [['A', 'B', 0.58], ['B', 'F', 5.72], ['F', 'G', 3.91], ['G', 'Z', 2.03]]
Melhor caminho: [['A', 'B', 1.9], ['B', 'F', 4.59], ['F', 'G', 4.19], ['G', 'Z', 2.82]]
Melhor caminho: [['A', 'E', 2.77], ['E', 'F', 3.54], ['F', 'G', 4.1], ['G', 'Z', 2.53]]
Melhor caminho: [['A', 'E', 3.6], ['E', 'H', 3.56], ['H', 'J', 3.1], ['J', 'Z', 1.39]]
Melhor caminho: [['A', 'E', 2.48], ['E', 'F', 2.08], ['F', 'G', 4.82], ['G', 'Z', 3.93]]
Melhor caminho: [['A', 'B', 1.61], ['B', 'F', 4.06], ['F', 'G', 2.62], ['G', 'Z', 3.19]]
Melhor caminho: [['A', 'B', 0.69], ['B', 'F', 3.24], ['F', 'G', 5.3], ['G', 'Z', 2.75]]
Melhor caminho: [['A', 'B', 0.49], ['B', 'F', 2.99], ['F', 'G', 4.89], ['G', 'Z', 3.51]]
Melhor caminho: [['A', 'B', 1.55], ['B', 'F', 3.64], ['F', 'G', 4.07], ['G', 'Z', 2.51]]
Melhor caminho: [['A', 'E', 3.71], ['E', 'F', 2.99], ['F', 'G', 4.94], ['G', 'Z', 2.49]]
Melhor caminho: [['A', 'B', 0.75], ['B', 'F', 2.87], ['F', 'G', 7.34], ['G', 'Z', 2.63]]
Melhor caminho: [['A', 'B', 0.35], ['B', 'F', 4.26], ['F', 'G', 5.35], ['G', 'Z', 3.0]]
Melhor caminho: [['A', 'B', 0.96], ['B', 'F', 3.07], ['F', 'G', 4.43], ['G', 'Z', 2.93]]
Melhor caminho: [['A', 'B', 0.59], ['B', 'F', 2.38], ['F', 'G', 4.95], ['G', 'Z', 2.83]]
Melhor caminho: [['A', 'B', 0.41], ['B', 'F', 5.98], ['F', 'G', 4.4], ['G', 'Z', 3.51]]
Melhor caminho: [['A', 'C', 4.6], ['C', 'I', 4.8], ['I', 'L', 1.33], ['L', 'Z', 2.49]]
Melhor caminho: [['A', 'B', 0.44], ['B', 'F', 3.24], ['F', 'G', 5.73], ['G', 'Z', 3.71]]
Melhor caminho: [['A', 'B', 0.16], ['B', 'F', 2.99], ['F', 'G', 5.25], ['G', 'Z', 3.44]]
Melhor caminho: [['A', 'B', 0.76], ['B', 'F', 3.53], ['F', 'G', 5.75], ['G', 'Z', 2.12]]
Melhor caminho: [['A', 'E', 2.67], ['E', 'H', 7.39], ['H', 'J', 3.33], ['J', 'Z', 1.32]]
Melhor caminho: [['A', 'B', 0.38], ['B', 'F', 2.76], ['F', 'G', 5.18], ['G', 'Z', 2.85]]
Melhor caminho: [['A', 'E', 3.75], ['E', 'F', 2.54], ['F', 'G', 3.3], ['G', 'Z', 2.21]]
Melhor caminho: [['A', 'B', 0.65], ['B', 'F', 2.95], ['F', 'G', 6.55], ['G', 'Z', 2.63]]
Melhor caminho: [['A', 'C', 4.6], ['C', 'I', 3.64], ['I', 'L', 2.4], ['L', 'Z', 1.14]]
Melhor caminho: [['A', 'B', 0.63], ['B', 'F', 3.74], ['F', 'G', 7.73], ['G', 'Z', 2.31]]
Melhor caminho: [['A', 'B', 1.39], ['B', 'F', 2.51], ['F', 'G', 4.99], ['G', 'Z', 2.62]]
Melhor caminho: [['A', 'E', 2.74], ['E', 'F', 2.7], ['F', 'G', 4.38], ['G', 'Z', 3.15]]
Melhor caminho: [['A', 'B', 0.24], ['B', 'F', 3.44], ['F', 'G', 2.6], ['G', 'Z', 2.58]]
Melhor caminho: [['A', 'E', 2.85], ['E', 'H', 5.31], ['H', 'J', 2.66], ['J', 'Z', 1.63]]
Melhor caminho: [['A', 'B', 0.24], ['B', 'F', 3.68], ['F', 'G', 5.78], ['G', 'Z', 3.57]]
Melhor caminho: [['A', 'B', 0.12], ['B', 'F', 3.98], ['F', 'G', 4.03], ['G', 'Z', 2.19]]
Melhor caminho: [['A', 'B', 0.03], ['B', 'F', 2.86], ['F', 'G', 4.97], ['G', 'Z', 2.0]]
Melhor caminho: [['A', 'E', 2.95], ['E', 'H', 4.34], ['H', 'J', 3.51], ['J', 'Z', 2.17]]
Melhor caminho: [['A', 'B', 0.24], ['B', 'F', 5.51], ['F', 'G', 4.29], ['G', 'Z', 3.73]]
Melhor caminho: [['A', 'C', 4.88], ['C', 'I', 4.85], ['I', 'L', 2.63], ['L', 'Z', 1.48]]
Melhor caminho: [['A', 'C', 5.72], ['C', 'D', 1.83], ['D', 'K', 5.89], ['K', 'L', 0.4], ['L', 'Z', 1.49]]
Melhor caminho: [['A', 'E', 2.95], ['E', 'F', 2.22], ['F', 'G', 6.85], ['G', 'Z', 2.62]]
Melhor caminho: [['A', 'B', 0.33], ['B', 'F', 4.29], ['F', 'G', 4.68], ['G', 'Z', 2.56]]
Melhor caminho: [['A', 'B', 1.88], ['B', 'F', 3.09], ['F', 'G', 3.96], ['G', 'Z', 3.07]]
Melhor caminho: [['A', 'B', 1.71], ['B', 'F', 2.87], ['F', 'G', 5.49], ['G', 'Z', 3.22]]
