D:\OneDrive\Particular\UFPR\SimulaçãoLogistica\TP01\TP01Final\venv\Scripts\python.exe D:/OneDrive/Particular/UFPR/SimulaçãoLogistica/TP01/TP01Final/main.py
Melhor caminho: [['A', 'B', 0.08], ['B', 'F', 4.02], ['F', 'G', 4.43], ['G', 'Z', 2.1]]
Melhor caminho: [['A', 'E', 2.58], ['E', 'H', 6.78], ['H', 'J', 3.53], ['J', 'Z', 2.52]]
Melhor caminho: [['A', 'B', 1.27], ['B', 'F', 5.62], ['F', 'G', 3.62], ['G', 'Z', 2.95]]
Melhor caminho: [['A', 'B', 0.8], ['B', 'F', 2.35], ['F', 'G', 6.86], ['G', 'Z', 3.42]]
Melhor caminho: [['A', 'E', 3.19], ['E', 'F', 2.23], ['F', 'G', 4.69], ['G', 'Z', 2.19]]
Melhor caminho: [['A', 'B', 1.39], ['B', 'F', 2.23], ['F', 'G', 4.99], ['G', 'Z', 3.39]]
Melhor caminho: [['A', 'B', 0.96], ['B', 'F', 5.39], ['F', 'G', 5.4], ['G', 'Z', 2.88]]
Melhor caminho: [['A', 'B', 0.18], ['B', 'F', 2.78], ['F', 'G', 6.08], ['G', 'Z', 2.03]]
Melhor caminho: [['A', 'B', 1.48], ['B', 'F', 4.68], ['F', 'G', 3.99], ['G', 'Z', 3.57]]
Melhor caminho: [['A', 'B', 0.2], ['B', 'F', 2.32], ['F', 'G', 6.28], ['G', 'Z', 2.16]]
Melhor caminho: [['A', 'C', 5.18], ['C', 'I', 3.96], ['I', 'L', 1.38], ['L', 'Z', 2.42]]
Melhor caminho: [['A', 'B', 1.7], ['B', 'F', 3.6], ['F', 'G', 4.98], ['G', 'Z', 3.09]]
Melhor caminho: [['A', 'B', 0.87], ['B', 'F', 3.68], ['F', 'G', 5.41], ['G', 'Z', 2.89]]
Melhor caminho: [['A', 'B', 0.37], ['B', 'F', 2.92], ['F', 'G', 5.12], ['G', 'Z', 2.32]]
Melhor caminho: [['A', 'C', 5.98], ['C', 'I', 4.48], ['I', 'L', 1.44], ['L', 'Z', 1.32]]
Melhor caminho: [['A', 'B', 1.86], ['B', 'F', 3.45], ['F', 'G', 5.99], ['G', 'Z', 2.85]]
Melhor caminho: [['A', 'B', 1.5], ['B', 'F', 3.65], ['F', 'G', 3.73], ['G', 'Z', 2.97]]
Melhor caminho: [['A', 'B', 0.96], ['B', 'F', 4.2], ['F', 'G', 4.68], ['G', 'Z', 2.68]]
Melhor caminho: [['A', 'B', 0.54], ['B', 'F', 4.31], ['F', 'G', 4.67], ['G', 'Z', 2.08]]
